city,latitude,longitude,name,reviews_rating,reviews_text
Irving,48.856543,2.285148,H  tel Sezz Paris,4.0,"The double room was too small even for a two night stay. Upgraded it a Suite and was spacious, quite and comfortable. A bit far from touristic attractions, the hotel is located in a nice residential area close to Trocadero. Metro station just 2min walk away."
Fort Lauderdale,26.123981,-80.331315,La Quinta Inn and Suites Sunrise,3.0,"When I got there I was informed by the guy at the front desk, Nathan, that my room with a king sized bed was overbooked and only two double beds were available. Since I was not happy about that, he then checked to see what he could do and found a room with a king bed. Kudos to him for that but the room must have had pets in it previously because every time I stood still on the carpet, something would bite me. I assume it must have been fleas so rather than go through the hassle of changing rooms, I did not stand still on the carpet and thankfully the critters didn't follow me home. I told the girl at the desk about the issue so hopefully the room was properly cleaned and treated. Shame on the pet owners who bring their bug infested pets into a hotel room making it worse for the next guest."
Port Clinton,41.52469,-82.85883,Holiday Inn Express Hotel and Stes Port Clinton-catawba Island,4.0,Excellent Our stay was very enjoyable. The staff were very attentive. The hotel itself is very warm and inviting. The complimentary breakfast excellent.
Fort Lauderdale,26.123981,-80.331315,La Quinta Inn and Suites Sunrise,5.0,"location in a little tough to navigate as it only in approachable from one way and exiting can be slightly tricky. However, the hotel room was clean, nice, and the bathroom was decent. The breakfast was a good assortment of dry goods to choose from."
Park City,40.65143,-111.50604,Marriott's Mountainside At Park City,4.0,"Lovely hotel but some annoying downfalls. 1. We were not advised of the check-out time which was unusually early, 10am. So as we were still relaxing in the room, housekeeping kept attempting to gain access to the room - still never mentioning that we should have checked out at 10am. I had to call the reception to ask them why we were being constantly bothered by housekeeping, only then did we find out the crazy early check out time. Very annoying!!!!!!! 2. There was no bar at the hotel but we were able to purchase wine from the lobby shop. After we ordered what we wanted and went to the room, the reception called to advise that the only red wine they now had was the most expensive one (almost double the others!) Very annoying !!! The hotel itself was nice, great location and nice pool area but the service was not great - maybe because it was out of season..."
Columbia,38.96124,-92.28914,Howard Johnson Inn Columbia,4.0,My friends and I enjoyed the hotel. The staff was helpful and got us set up with a nice taxi service. The room serves its purpose of a place to get ready for a concert and then come back late and get some good sleep before heading home.
Las Vegas,36.171617,-115.146375,Plaza Hotel and Casino - Las Vegas,1.0,I was not happy with the stay. The room looked bad. The TV didn't work and bed sheets had stains. AC didn't work properly. I will never go back and stay there.
San Bruno,37.617582,-122.408516,Hotel Aura Sfo,5.0,"We always stay in the general area as it is in a convenient for our visits. We've never stayed here at this particular hotel but were very satisfied with the accommodations and the price was with-in our budget. The room was clean, staff were friendly and helpful. Breakfast was the standard that you may find in many hotels of this level, make your own pancakes, cereal and juice,ect. I had problems connecting my computer to the wi-fi, but the lady at the front desk was very helpful and got me on line. Probably just me and my own ignorance on computers. Overall we were very satisfied and would stay here again."
Houston,29.768461,-95.459631,The Houstonian Hotel,5.0,The most relaxing beautiful hotel in Houston. Service is exceptional and staff is excellent. Spa is the best inTexas....
Sarasota,27.300319,-82.450461,Hampton Inn Sarasota - I-75 Bee Ridge,1.0,"the room was very muggy and humid. There was a air purifier in the room but it was working. It was finally changed after the second request, in which the front desk person had to change it out himself. the Carpet looked clean but it was very dirty. My daughter walked around the room barefoot for an hour and her... More"
Westmont,41.81644,-87.955,Extended Stay America - Chicago - Westmont - Oak Brook,3.0,"This hotel isn't bad per se, it's just very dated. If they did some updates in the rooms and made a few little changes, the prices they charge would be justified. Good things: decent location, quiet neighborhood, not too far from the city. Annoying things: the wifi is pretty bad during the day, the rooms are dated, the bed was pretty darn bad, their version of a continental breakfast consists of low-grade muffins and coffee, and they make you check out at 11am and don't allow late check-outs. I called for an extension I was willing to pay for and they said no. I travel a lot, and that was a first. This place advertises dishes and cutlery for your room (they have kitchens), but none was supplied. In my opinion, all those things arent too bad, but more so inconveniences. That's all I have. But on a side note, James at the front desk is amazing!"
Newburgh,41.505388,-74.073291,Howard Johnson Inn - Newburgh,1.0,"I've stayed in this hotel twice before with no issues. However, this time when we checked in our room it had a pungent smell.. As of they were trying to mask the smell. There were bugs crawling on the table, I awoke one morning to a huge spider on my pillow looking at me and lastly.. The bathroom had tiny hairs on floor and shower wall. Was truely disgusted with my stay!"
Santa Barbara,34.428888,-119.707704,Simpson House Inn,5.0,Just walk onto the grounds and you know this is something superior. The service is impeccable. The food is wonderful. The rooms are more than comfortable. And the grounds are Edenic. You just feel like you have entered something special. It may be the best place I have ever stayed.
Long Beach,33.78864,-118.189464,Best Western of Long Beach,3.0,It was a good place to stay as the train stopped right outside and would take you closer to the action. Breakfast was ordinary as our many American continental breakfasts. Room was comfortable as you would expect.
Tucson,32.124926,-110.934519,Hampton Inn Tucson-airport,3.0,"great staff service you expect at hampton, but the facility is not top notch, and the breakfast was a disappointment. Breakfast was not up to hampton standards, few selections and not variety i have found at other hotels."
Curitiba,-25.43675,-49.28146,Mercure Curitiba Golden Hotel,5.0,"Hotel excelente, muito limpo e organizado, localizao perfeita (prximo a bares, restaurantes e shoppings). Quartos amplos, cama excelente, ducha muito boa e caf da manh muito bom com muitas variedades. Equipe bastante atenciosa e simptica."
San Antonio,29.487838,-98.583884,Fiesta Inn and Suites,3.0,"Refrigerator was barley cool. Iron would barley warm up. Phone wouldn't ring. Hair dryer was faulty. No wash cloths - only old, rough towels. No enforcement of pool rules. Spend the extra cash for a better place."
Grand Junction,39.067321,-108.569141,Hampton Inn Grand Junction Downtown/historic Main Street,5.0,"This was for a one night stop while traveling. The area is great. Lots of restaurant choices in walking distance and the breakfast at the hotel was fantastic with a lot of choices. The hotel and room were clean, beds comfortable and staff was nice. Not to mention the fresh baked cookies in the lobby."
Tucson,32.124926,-110.934519,Hampton Inn Tucson-airport,2.0,"excellent hotel; very convenient to the tucson airport, and they serve a wide variety of items for breakfast (which is complimentary)."
Carson City,39.142715,-119.767824,Americas Best Value Inn,4.0,"Stayed at this motel while playing a softball tournament in north Tahoe upon arrival very easy check in the hotel is a old hotel but kept as well as it can be. Clean very quite nice people ,pool is very old but wAter is clean. No fridge and micro like they said and breakfast was horrible . Landry facilities are great and open all night which is great since we got back late and had softball uniforms to wash over all great place to stay!"
Las Vegas,36.171617,-115.146375,Plaza Hotel and Casino - Las Vegas,1.0,Horrible! Dirty halls - piles of trash dirty linens laid in hall all night long. (see pics). Very strict checkout policy - told me if I stayed 5 minutes past 11am I would be billed another 22.
Cambridge,42.374972,-71.110408,A Bed & Breakfast In Cambridge,5.0,"Everything about the place was above and beyond what I needed and expected it to be. The house is in a great spot, within walking distance of most of Harvard, and close to the Harvard T-station, so easy to get around. Breakfasts were always delicious, as the innkeeper is a wonderful chef. Great food and food for thought in the morning, with many interesting stories and ideas exchanged. Rooms were really nice, and the bed was very comfortable. Shared bathroom was always clean and tidy, and never busy/no waiting for the shower. A/C kept the room cool, temperature was never a problem. Innkeeper was always accommodating and very easy-going. Would definitely stay here again."
Fort Lauderdale,26.096485,-80.246321,Extended Stay America - Fort Lauderdale - Davie,3.0,"The staff are wonderful. Thats not my complaint. The room just wasnt great. The floors in the bathroom are stained. The shower has 2 heads and one wont shut off all the way. The room just doesnt feel as clean as it should. For the price, this room just lacks what we expected."
Denver,39.744501,-104.983568,Warwick Denver,4.0,"Very comfortable bed. Food was great pool was warm and fun although very crowded with what dis not appear to be hotel guests playing loud music. Did not get service one day and the other day it was after 4:00. Okay, but not ideal."
San Antonio,29.487838,-98.583884,Fiesta Inn and Suites,1.0,Rude and angry staff could not figure out how to use the computer.  He kept looking through stacks of papers and yelling at customers because we did not have printouts from Expedia to prove we had a reservation.  I called help desk and then the clerk yelled at him for 5 minutes.  Then Expedia explained that they could not help me get a new hotel room until the clerk agreed to refund Expedia.  So no room and no money - but Expedia did offer my a $50 credit.  So I was stranded in San Antonio at 1 in the morning with a credit - soooooo helpful.  I asked to talk to a supervisor - was told that there was a 45 minute wait.  Hummm I guess the long wait is because none of your customers are happy.
Grand Rapids,42.91294,-85.5323,Best Western Hospitality Hotel and Suites,4.0,"This is the motel we prefer when going downstate to visit family and friends in the Grand Rapids area The interstate is right there and a plethora of restaurants surround the location on busy 28th St., not to mention the close proximity to two major malls. Room was clean and the bed very comfortable. Plus the wife was pleased with... More"
Black River Falls,44.29782,-90.82021,Comfort Inn and Suites,5.0,"We enjoyed our stay, brief as it was. The front desk customer service representatives were exceptional, particularly the young lady (I'm sorry we did not get her name) when we checked in the evening of Jan. 22, 2015."
Fort Collins,40.5833,-105.00756,Super 8 Fort Collins,4.0,"Hotel staff was very attentive and pleasant, although, the front desk was not staffed unless called with the buzzer. The morning breakfast was very good. The staff seemed to do a good job of keeping the facility clean, but some of the hotel guests dumped their trash and dirty towels outside of room doors for pickup and vomit was present in the stairwell and outside the back door. The AC was difficult to moderate and would shut down due to energy saving measures when someone was not in the room. This caused the room to always take a period of time to get comfortable again. The entrance to and from the main road in front was not always easy."
Lithia Springs,45.43393,12.34551,Hotel Metropole,4.0,"The room was beautiful, very dark because of the location, had an extra guest visit for one night and was charged dearly for it."
Meridian,32.350392,-88.691659,La Quinta Inn and Suites Meridian,3.0,Management and staff were fantastic. I'd come back again. My only complaint has to do with a family who wouldn't control their dog or kids. It was a bit noisy. But that wasn't the hotel's fault. Was a nice stay.
Fort Worth,32.73509,-97.43459,Hampton Inn & Suites Fort Worth-west-i-30,5.0,The room we stayed in was very spacious. It had lots and lots of room to move around. The set-up was nice too. The room was kind of separated by a built in middle desk that had the tv above it. The tv could be turned to face the bed side of the room or to the couch/visiting side. Nice... More
North Myrtle Beach,33.791179,-78.734704,Beach Cove 411 Tower A Sierra's 1 Bedroom Condo By Prista Management,4.0,"great location, just outside the busiest areas.  beautiful beach and amenities.  could use some updating to get it out of the 1980's, but it's clean, and the staff are friendly."
West Deptford,39.83456,-75.08841,Residence Inn By Marriott Deptford,4.0,"We stayed overnight after going to see George Benson in concert at the TD Bank Art Center. The hotel is very conveniently located near restaurants and places to shop. The hotel lobby is kind of small, but when we checked in it was kind of empty so that really didn't matter. The staff behind the counter was pleasant. The room was clean and the bed was comfortable. We would definetely stay again."
Fort Wayne,41.13243,-85.15651,Days Inn Fort Wayne,4.0,"I have stayed at this Days Inn every time I am in Fort Wayne, The people that run the motel are great people and care very much about there place. The 4 star is for Location, Rate, and Room in that order."
San Jose,37.52297,15.060435,Hotel Borgo Verde,5.0,"Il mio soggiorno in Sicilia stato molto bello e la cordialit , disponibilit del personale del Borgo verde lo hanno reso ancora pi piacevole"
Newburgh,41.505388,-74.073291,Howard Johnson Inn - Newburgh,4.0,"My experience was alright. Staffs were friendly. Packing and WiFi is great. Surroundings peaceful and quiet.enjoyed the fruits options during breakfast. More varieties for breakfast food options on daily basis could be added Downside to Hotel that there is no Elevator, not recommend for Elderly persons with mobility problems. attended a Jehovah's Witness Convention at Newburghdine out at Flaming Buffet and Grill which was great!!!"
Brookings,44.31141,-96.76286,Days Inn Brookings,3.0,"The motel has an inside swim park and when you walk in you can smell the chlorine throughout the facility. The facility is undergoing some remodeling which it is need of as it has the interior appearance of about a 20 year old facility. The t.v,s are still the old type. Breakfast facility was very roomy and quite nice."
West Yarmouth,41.657447,-70.261804,Tidewater Inn,3.0,"Could use some cosmetic updates-new rugs, bedspreads , curtains etc Was initially disappointed with room but they are clean and housekeeping staff terrific All staff at hotel were wonderful to deal with Please fix indoor pool locks so key to open works easily-wiggling key a pain Onsite caf great-food and wait staff terrific-great coffee Close to everything so great location For the price would stay again"
North Myrtle Beach,33.791179,-78.734704,Beach Cove 411 Tower A Sierra's 1 Bedroom Condo By Prista Management,5.0,"This facility is very well kept, up to date, and clean. Enjoyed our stay very much. I am very picky about where we stay. A friend referred us to Beach Cove. It is a great location and very family friendly. Staff was very friendly helpful."
Effingham,39.14055,-88.565983,Super 8 - Effingham,3.0,Motel and room were fine. When we checked in the front desk staff was busy discussing their schedule for Christmas and we had to stand and wait until they decided to take care of us. Not very professional front desk staff.
Hillsboro,45.532877,-122.920863,Holiday Inn Express - Hillsboro,4.0,Hotel was up to Holiday Inn Express standards. Quiet cul de sac. Driving distance for local restaurants. Close to employment centers.
Englewood,41.000606,28.802515,Radisson Blu Conference and Airport Hotel,1.0,The place does not deserve more than 3 stars at best if not 2. Staff untrained and disorganized. The room was not as good as the photos.
Telluride,37.933273,-107.850865,Mountain Lodge At Telluride - A Noble House Resort,5.0,"Couldn't be a better location for the Mountain Village Gondola into Telluride (which is a beautiful ride!) The price for our June trip was great, too! The front desk staff was friendly and accommodating as we added a day to the trip."
Fond Du Lac,43.75521,-88.47649,Holiday Inn Fond Du Lac,4.0,While it appeared to be an older facility it was in very good repair. Rooms were comfortable and clean. Everything worked. Nice included breakfast buffet goes beyond what many 'free breakfasts' provide. Good value.
Jackson,43.48286,-110.76506,Anglers Inn,4.0,"The room was clean and nicely decorated in a cabin style. Our room was in the older section of the Inn, on the lower floor at the end, and the noise from the water pipes for that entire section was quite constant, plus the people in the room above us seemed to be constantly walking back and forth across the room and we could hear every step!"
Atlantic Beach,34.701386,-76.74691,Palm Suites,3.0,The stay was ok but our room had black mold on the ceiling above the air conditioner. I ask for a different room but it was booked for the festival on Friday. The clerk said that she may have one on Saturday but i was never contacted.
Idaho Falls,43.49497,-112.052329,Fairfield Inn and Suites By Marriott Idaho Falls,5.0,"We chose this hotel as a rendezvous place before and after a trip with friends to Yellowstone. Walmart was just next door, and we were able to do all the shopping we needed before the trip. The room is comfortable, breakfast is good and the staff is very helpful."
San Francisco,37.799801,-122.436031,Chelsea Inn,4.0,"Had my doubts but the office clerks were very helpful and any problems were quickly resolved. The room was clean and did not smell of air freshner. The location is excellent as it is one block from Chestnut St. where there are lots of restaurants, shopping, ATMs and bars. We had a large van and there was plenty of room to park it. One afternoon the office staff even parked it for us as the parking slot was not available when we checked in. Very nice experience!"
Jackson,43.48286,-110.76506,Anglers Inn,3.0,"Hotel is not upscale, but adequate. It's location is good and walking distance from downtown Jackson. The room is relatively small, but ok since we spent all daytime hours site seeing. Price was right!"
Walker,47.09124,-94.57172,Country Inn Walker,5.0,"Booked an hour before we arrived with no previous experience of the location of the chain. Entrance is like a country house, with a large open and welcoming reception area. prompt check-in and directed towards a pot of chilli that was available for guests (despite offering breakfast only). Access to first floor is by stairs only, but they are wide... More"
New Orleans,29.9632203,-90.059329,Lamothe House,4.0,Our room was nice customer service was very good the floors in the room were very dirty though don't think they ever mopped them!
Windom,43.856357,-95.116243,Red Carpet Inn,2.0,Sink faucet handle was extremely loose. (Very simple to fix.) Toilet handle was extremely loose. (Very simple to fix.) Pillows were stained and filthy. Room smelled musty. Outside paint on window frames - - wasn't. Desk clerk was uncooperative.
Coralville,41.70064,-91.607,Americinn Coralville,2.0,"It was an overnight travel stay. Our room was like a sauna. The sheets were wet, towels wet. Hotel staff said leave the air conditioner on, it'll get better. It didn't. As we left, Noticed water condensing on the outside wall on both sides of our window. No other window had it. Probably faulty condenser. Just made our stay miserable."
Chico,39.72602,-121.83713,Americas Best Value Inn,2.0,"The first room I was placed in looked like something out of a horror movie. The window was broken in the open position... On the ground level facing the alley way. They placed me in a new room on the second floor that was better. I asked for a late check out ( which they said was no problem, but costs 10 per hour over). They forgot I was scheduled a late check out and called and started to berate me because I hadn't checked out yet... When I reminded them, they apologized and were nice. Only to have house keeping knock on my door a couple minutes later and we went through the same scenario."
Northbrook,50.106529,8.760921,Sheraton Offenbach Hotel,5.0,Hotel was very central with easy access to rail links to airport. Very close to river Main for some superb riverside walks. Food was. Expensive in hotel so we tended to eat out. Tea and coffee facilities in room should be standard in a four star hotel.
Northbrook,50.106529,8.760921,Sheraton Offenbach Hotel,5.0,"Staff at Sheraton made our experience wonderful, would definitely recommend to anyone considering this hotel. Well located for walking ventures to Offenbach outside locations a like via the train station (Marketplaz). Easily located via train when leaving Franfurt Airport."
Annapolis,38.97555,-76.54838,Hampton Inn and Suites Annapolis,5.0,Friendly staff. Nice facility. Great location. We would stay at the Hampton Inn Suites Annapolis again.
Lithia Springs,45.43393,12.34551,Hotel Metropole,4.0,"This was the most expensive hotel we stayed in during our 10 days in Italy. At US 750 per night, it is the most expensive hotel I have ever stayed in, anywhere. The location is great, the staff is fantastic, and arranged for our transportation from the airport when we arrived and to the train station when we left. The public areas and rooms were lovely. The 30 euro breakfast was delightful. Really the only thing that seemed odd was that the lobby and hallways are not air conditioned, and the a/c in our rooms was barely adequate. We are from Houston and were surprised that a hotel of this caliber and price point had this sort of issue. Overall, delightful."
Miles City,46.39733,-105.82263,Econo Lodge Miles City,4.0,"This hotel has NO pet fee, which was a fantastic perk during our cross-country journey with our dog. Everything else about this 'outdoor' hotel (no indoor hallways) is mediocre. We had been driving all day and most of the night and just needed a place to lay our heads. It served its purpose. The breakfast is your basic continental breakfast, with cereal bagels, coffee, etc. The showers were hot, and the TV was the newest thing around. They also had microwaves and fridges near a table, which made a perfect spot to eat our late night dinner. The staff was friendly and helpful. If you are not concerned with luxury, this is a great place for pet owners and non-owners alike!"
Santa Cruz,36.965324,-122.021465,Fireside Inn Santa Cruz,5.0,"This is the second time I've stayed at the FI. This stay, I was there for six nights. The FI, is what it is advertised to be. Basic, clean, safe and comfortable. Extremely close to the beach (one of the closest hotels to the beach). The staff have always been good and attentive. I have no complaints and when I need or want to stay in Santa Cruz, this will be my home away from home until."
Fort Worth,32.73509,-97.43459,Hampton Inn & Suites Fort Worth-west-i-30,5.0,"This hotel is in a great location with easy access to Interstate 30. Close to a mall and restaurants. It is very clean, friendly and very helpful staff. The rooms are a good size, clean and the pillows are great. I definitely would stay here again."
Coralville,41.70064,-91.607,Americinn Coralville,1.0,My family and I have stayed here several times in the past this last time was horrible. Wanted to check in early since we had an event that would run later into the night. We were told that there would be a 15 early check in fee. After being told that we went to an early supper returned... More
Stone Creek,41.08352,1.153677,Hotel Portaventura,3.0,"Great location and access to the Theme Park and ability to come and go through out the day was excellent. Rooms large and functional and clean Dining options limited and food quality disappointing, breakfast buffet passable - definitely not 4 star. The hotel is fine but don't expect 4 star standards."
Livermore,37.701428,-121.814181,Comfort Inn Livermore,3.0,"Stayed one night and found that the hotel is basic yet comfortable for a night or two.Very close to highway, yet quiet."
Studio City,34.144791,-118.41155,Sportsmen's Lodge,4.0,"Lovely hotel and the staff are fantastic. I called to try for a last minute reservation the morning of my check in. Spoke to by far the nicest man by the name of Howard. He was humorous, helpful and took my phone number down to call and let me know if I could check in early. I did manage to do an earlier check in and the entire front desk crew were incredible. Very lively pool area (loud but fun) and the rooms are delightful. Looks renovated, amazingly comfortable bed, I was on the 5th floor facing a quiet area, cute bathroom, clean and so convenient. Only thing I would have liked is a refrigerator as I'm used to the chains like Marriott and Hampton Inns etc., however, with a foodstore opposite and Starbucks plus other stores, it was no big deal. Will definitely stay there again. Will admit though that the direct rate booking through hotel website was cheaper than Expedia but it was too late, I had used Expedia for this booking."
Rockford,42.27388,-88.9672,Extended Stay America - Rockford - I-90,3.0,"We traveled to Rockford for a soccer tournament at the last minute. The hotel is located in an area with many other hotels and places to eat and we booked it because it was recently remodeled. I rated the hotel higher than my wife because she thinks the quality of the bedding says a lot about the hotel In our room we found fresh paint, carpeting etc. however the appliances, bedding and shower were not upgraded. All in all still a nice place but would have been top notch if they would have gone the next steps."
Santa Barbara,34.409581,-119.693387,Casa Del Mar Inn Bandb,4.0,"The hotel was 1/2 block from the beach. No pool which was a bummer. Overall a clean nice property. Short walk to food, beach, and retail."
Charlotte,35.30077,-80.7538,Country Inn and Suites By Carlson Charlotte University Place,4.0,"Comfortable accommodations and friendly, excellent staff. Stayed for two nights and thoroughly enjoyed it. The hot breakfast changed each day and there were plenty of options. Definitely worth another stay the next time in the area."
Orlando,28.482007,-81.455546,Extended Stay America - Orlando Theme Parks - Vineland Rd.,3.0,Be ready to make your own bed and hang up those towels if you are staying just a few nights. Room service does not kick in until after a week. Guess that's why they call it EXTENDED stay. lol
Herndon,,,Hyatt Dulles,4.5,"Gyn was fabulous and very detail oriented- she executed our wedding and rehearsal dinner very well and worked very hard to make sure that things went smoothly- she and her staff made the room look beautiful with the many accessories I brought- photo collage, table scape confetti, etc. She was also very flexible and easy to work with.There were just a couple issues to be aware of- read the contract very carefully before signing, or better yet, have whomever is paying sign the contract. There was a misunderstanding about discounts on weddings that take place during the week- evidently, they calculated the discount without letting me know what the full price was. Also, they displayed the supplement desserts and ice cream before our cake was served, which didn't make any sense and I ended up taking home most of my wedding cake. Also, reminder to brides: If your parents are part of the processional and have reserved seating, please have someone place wedding programs on their seats! Neither of our parents had programs during the service and this was disappointing and added confusion to their participation!Be aware, at the Hyatt Dulles you will pay 22% gratuity and 5% tax for all food and beverage- even the breakfast brunch, which was self serve and the omelette station wasn't manned during our brunch. This was very overpriced and there wasn't much service to justify this exorbitant fee."
Auburn,42.199763,-71.840633,La Quinta Inn Auburn Worcester,3.0,"Positives: convenient to highway, close to restaurants, across from Auburn Mall, friendly staff, all public areas (lobby,dining area,hallways) clean, free wifi,good size room,roombathroom clean,hot water in shower,comfortable bed, free breakfast, good variety of breakfast foods, price is comparable to nearby hotels. Negatives:even though it is now a completely smoke free hotel the property smells of stale smoke as if no... More"
Newburgh,41.505388,-74.073291,Howard Johnson Inn - Newburgh,3.0,"It's ok. It was a holiday weekend and availability was hard to find for my price point. If you are a hotel snob or OCD, you should probably spend more money for something else. It could definitely be cleaner and be made to smell fresh. The room smelled ok but the hallway smelled weird. The continental breakfast is ok to... More"
Huntersville,35.44025,-80.87268,Candlewood Suites Huntersville,1.0,The furniture was in bad shape and disgusting. I stayed for 4 days and no one ever came and cleaned my room. I also asked for new towels and never got them. I also had to take out my own trash every day.
